match_id,inning,batting_team,player,runs_scored,balls_faced,strike_rate,fours,sixes
26,1,Adelaide Strikers,BE Patterson,51,42,121.43,2,1
26,1,Adelaide Strikers,ML Schutt,7,4,175.0,1,0
26,2,Melbourne Stars,L Lee,25,13,192.31,4,1
26,2,Melbourne Stars,AR Reakes,15,14,107.14,2,0
26,2,Melbourne Stars,M du Preez,33,27,122.22,4,0
26,2,Melbourne Stars,EA Osborne,16,17,94.12,2,0
26,2,Melbourne Stars,KM Mack,11,12,91.67,0,0
26,2,Melbourne Stars,GA Elwiss,2,3,66.67,0,0
26,2,Melbourne Stars,A Sutherland,23,19,121.05,1,0
26,2,Melbourne Stars,A King,2,3,66.67,0,0
26,2,Melbourne Stars,NM Hancock,11,4,275.0,1,1
26,2,Melbourne Stars,HL Ferling,4,5,80.0,1,0
26,2,Melbourne Stars,N Faltum,6,3,200.0,0,0
21,1,Hobart Hurricanes,L Lee,24,14,171.43,2,1
21,1,Hobart Hurricanes,EJ Villani,2,6,33.33,0,0
21,1,Hobart Hurricanes,M du Preez,26,19,136.84,2,1
21,1,Hobart Hurricanes,H Graham,16,9,177.78,0,2
21,1,Hobart Hurricanes,R Trenaman,8,10,80.0,0,0
21,1,Hobart Hurricanes,NJ Carey,4,4,100.0,0,0
21,1,Hobart Hurricanes,NE Stalenberg,6,4,150.0,0,0
21,1,Hobart Hurricanes,R Johnston,0,1,0.0,0,0
21,1,Hobart Hurricanes,HNK Jensen,2,4,50.0,0,0
21,1,Hobart Hurricanes,ML Gibson,2,1,200.0,0,0
